ID	DOCULECT	CONCEPT	SPANISH	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	NOTES
362	Arara	wife	esposa	amĩ	amĩ	a m ĩ		1460		
363	Shanenawa	wife	esposa	awin	awin	a w i n		1460		
364	Yawanawa	wife	esposa	awin	awin	a w i n		1460		
365	Poyanawa	wife	esposa	awĩ	awĩ	a w ĩ		1460		
366	Iskonawa	wife	esposa	awĩ	awĩ	a w ĩ		1460		
367	Chakobo	wife	esposa	awini	awini	a w i n i		1460		
368	Pakawara	wife	esposa	?awini	ʔawini	ʔ a w i n i		1460		
369	Kakataibo	wife	esposa	ʂano	ʂano	ʂ a n o		1469		
370	Kaxarari	wife	esposa	ɨitahi	ɨitahi	ɨ i t a h i		1467		
371	Mastanawa	wife	esposa	ɨnwɨami	ɨnwɨami	ɨ n w ɨ a m i		1460		
372	Chaninawa	wife	esposa	ɨwɨami	ɨwɨami	ɨ w ɨ a m i		1460		
373	Chaninawa	wife	esposa	ɨwɨaβi	ɨwɨaβi	ɨ w ɨ a β i		1460		
374	Sharanawa	wife	esposa	awin	awin	a w i n		1460		
375	Amawaka	wife	esposa	ain	ain	a i n		1460		
376	Nawa	wife	esposa	a:mi	a:mi	aː m i		1460		
377	Marinawa	wife	esposa	ami	ami	a m i		1460		
378	Marinawa	wife	esposa	pandu	pandu	p a n d u		1464		
379	Yaminawa	wife	esposa	awĩ	awĩ	a w ĩ		1460		
380	Kashinawa_P	wife	esposa	ajʔ	ajʔ	a j ʔ		1468		
381	Kashinawa_B	wife	esposa	aĩ	aĩ	a ĩ		1460		
382	Araona	wife	esposa	boilimi	boilimi	b o i l i m i		1463		
383	Araona	wife	esposa	wane	wane	w a n e		1465		
384	Araona	wife	esposa	mama	mama	m a m a		1461		
385	Tacana	wife	esposa	ehuane	ehuane	e h u a n e		1462		
386	Cavinena	wife	esposa	ehuane	ehuane	e h u a n e		1462		
387	Ese_ejja	wife	esposa	ehuanase	ehuanase	e h u a n a s e		1462		
388	Matses	person (human)	persona	matses	matses	m a ts e s	person	858		
389	Matis	person (human)	persona	matses	matses	m a ts e s		858		
390	Marubo	person (human)	persona	jura	jura	j u r a		855		
391	Shipibo_Konibo	person (human)	persona	huni	huni	h u n i		856		
392	Kapanawa	person (human)	persona	huni	huni	h u n i		856		
393	Arara	person (human)	persona	jura	jura	j u r a		855		
394	Shanenawa	person (human)	persona	jura	jura	j u r a		855		
395	Yawanawa	person (human)	persona	jura	jura	j u r a		855		
396	Nukini	person (human)	persona	nukuni	nukuni	n u k u n i		856		
397	Poyanawa	person (human)	persona	undi	undi	u n d i		856		
398	Iskonawa	person (human)	persona	uni	uni	u n i		856		
399	Chakobo	person (human)	persona	nu?iria	nuʔiria	n u ʔ i r i a		807		
400	Pakawara	person (human)	persona	huni	huni	h u n i		856		
401	Kakataibo	person (human)	persona	uni	uni	u n i		856		
402	Kaxarari	person (human)	persona	huni	huni	h u n i		856		
403	Mastanawa	person (human)	persona	juɾa	juɾa	j u ɾ a		855		
404	Chaninawa	person (human)	persona	ju:ɾa	ju:ɾa	j uː ɾ a		855		
405	Sharanawa	person (human)	persona	juɾa	juɾa	j u ɾ a		855		
406	Amawaka	person (human)	persona	juɾa	juɾa	j u ɾ a		855		
407	Nawa	person (human)	persona	ju:ɾa	ju:ɾa	j uː ɾ a		855		
408	Marinawa	person (human)	persona	juɾa	juɾa	j u ɾ a		855		
409	Yaminawa	person (human)	persona	juɾa	juɾa	j u ɾ a		855		
410	Kashinawa_P	person (human)	persona	huni	huni	h u n i		856		
411	Kashinawa_B	person (human)	persona	yuda	yuda	j u d a		855		
412	Araona	person (human)	persona	ekuicha	ekuicha	e k u i tʃ a		857		
413	Araona	person (human)	persona	sedapo	sedapo	s e d a p o		859		
414	Tacana	person (human)	persona	aida	aida	a i d a		857		
415	Cavinena	person (human)	persona	ecuita	ecuita	e c u i t a		857		
416	Ese_ejja	person (human)	persona	?	ʔ	ʔ		860		
417	Matses	name	nombre	kuɨmɨdaid	kuɨmɨdaid	k u ɨ m ɨ d a i d	name _daid	774		
418	Matis	name	nombre	anɨ	anɨ	a n ɨ		771		
419	Marubo	name	nombre	anɨ	anɨ	a n ɨ		771		
420	Shipibo_Konibo	name	nombre	hanɨ	hanɨ	h a n ɨ		771		
421	Kapanawa	name	nombre	hanɨ	hanɨ	h a n ɨ		771		
422	Arara	name	nombre	aɨndɨ	aɨndɨ	a ɨ n d ɨ		771		
423	Shanenawa	name	nombre	anɨ	anɨ	a n ɨ		771		
424	Yawanawa	name	nombre	anɨ	anɨ	a n ɨ		771		
425	Poyanawa	name	nombre	andɨ	andɨ	a n d ɨ		771		
426	Iskonawa	name	nombre	anɨ	anɨ	a n ɨ		771		
427	Chakobo	name	nombre	hanɨ	hanɨ	h a n ɨ		771		
428	Kakataibo	name	nombre	anɨ	anɨ	a n ɨ		771		
429	Kaxarari	name	nombre	halɨ	halɨ	h a l ɨ		771		
430	Mastanawa	name	nombre	adɨ	adɨ	a d ɨ		771		
431	Chaninawa	name	nombre	adɨ	adɨ	a d ɨ		771		
432	Sharanawa	name	nombre	adɨ	adɨ	a d ɨ		771		
433	Amawaka	name	nombre	handɨ	handɨ	h a n d ɨ		771		
434	Nawa	name	nombre	adɨ	adɨ	a d ɨ		771		
435	Marinawa	name	nombre	andɨ	andɨ	a n d ɨ		771		
436	Yaminawa	name	nombre	adɨ	adɨ	a d ɨ		771		
437	Kashinawa_P	name	nombre	kɨna	kɨna	k ɨ n a		773		
438	Kashinawa_B	name	nombre	kɨna	kɨna	k ɨ n a		773		
439	Araona	name	nombre	bani	bani	b a n i		772		
440	Tacana	name	nombre	ebani	ebani	e b a n i		772		
441	Cavinena	name	nombre	chacani	chacani	tʃ a c a n i		769		
442	Ese_ejja	name	nombre	bajjani	bajjani	b a dʒː a n i		772		
443	Matses	man [male]	hombre	dada	dada	d a d a	man	730		
444	Matis	man [male]	hombre	dada	dada	d a + d a	man _man	730		
445	Marubo	man [male]	hombre	βɨnɨ	βɨnɨ	β ɨ n ɨ	man	733		
446	Katukina	man [male]	hombre	huni	huni	h u n i		728		
447	Kanamari	man [male]	hombre	huni	huni	h u n i		728		
448	Shipibo_Konibo	man [male]	hombre	βɨmβu	βɨmβu	β ɨ m β u		703	1	see husband
449	Kapanawa	man [male]	hombre	βɨβu	βɨβu	β ɨ β u		703		
450	Arara	man [male]	hombre	dokohwandi	dokohwandi	d o k o hʷ a n d i		728		
451	Shanenawa	man [male]	hombre	nukuhunɨ	nukuhunɨ	n u k u h u n ɨ		728		
452	Yawanawa	man [male]	hombre	nukɨβɨnɨ	nukɨβɨnɨ	n u k ɨ β ɨ n ɨ		733		
453	Nukini	man [male]	hombre	iraβu	iraβu	i r a β u		731		
454	Poyanawa	man [male]	hombre	iraβu	iraβu	i r a β u		731		
455	Iskonawa	man [male]	hombre	iɾaβu	iɾaβu	i ɾ a β u		731		
456	Chakobo	man [male]	hombre	huni	huni	h u n i		728		
457	Pakawara	man [male]	hombre	huni	huni	h u n i		728		
458	Kakataibo	man [male]	hombre	βɨnɨ	βɨnɨ	β ɨ n ɨ		733		
459	Kaxarari	man [male]	hombre	wãpɨ	wãpɨ	w ã p ɨ		732		
460	Kaxarari	man [male]	hombre	βiki	βiki	β i k i		692		
461	Mastanawa	man [male]	hombre	duʔuhɨdi	duʔuhɨdi	d u ʔ u h ɨ d i		691		
462	Chaninawa	man [male]	hombre	dukuɸɨdɨ	dukuɸɨdɨ	d u k u ɸ ɨ d ɨ		733		
463	Sharanawa	man [male]	hombre	duku ɸɨdɨ	duku ɸɨdɨ	d u k u # ɸ ɨ d ɨ		733		
464	Amawaka	man [male]	hombre	hundi	hundi	h u n d i		728		
465	Nawa	man [male]	hombre	dukuɸɨdi	dukuɸɨdi	d u k u ɸ ɨ d i		691		
466	Marinawa	man [male]	hombre	dukuɸɨnɨ	dukuɸɨnɨ	d u k u ɸ ɨ n ɨ		733		
467	Yaminawa	man [male]	hombre	wɨnu nawa	wɨnu nawa	w ɨ n u # n a w a		734		
468	Kashinawa_P	man [male]	hombre	huni	huni	h u n i		728		
469	Kashinawa_B	man [male]	hombre	huni	huni	h u n i		728		
470	Araona	man [male]	hombre	dea	dea	d e a		730		
471	Tacana	man [male]	hombre	deja	deja	d e j a		730		
472	Cavinena	man [male]	hombre	deca	deca	d e c a		730		
473	Ese_ejja	man [male]	hombre	edejja	edejja	e d e dʒː a		730		
474	Matses	woman	mujer	tʃido	tʃido	tʃ i d o	woman	1505		
475	Matis	woman	mujer	tʃidaβo	tʃidaβo	tʃ i d a + β o		1505		
476	Marubo	woman	mujer	ainβu	ainβu	a i n + β u	woman _bu	1502		
477	Katukina	woman	mujer	ayβu	ayβu	a j β u		1502		
478	Kanamari	woman	mujer	oĩβo	oĩβo	o ĩ β o		1502		
479	Shipibo_Konibo	woman	mujer	ainβu	ainβu	a i n + β u	woman bu	1502		
480	Kapanawa	woman	mujer	aiβu	aiβu	a i + β u	woman _bu	1502		
481	Arara	woman	mujer	aĩhu	aĩhu	a ĩ h u		1502		
482	Shanenawa	woman	mujer	awin	awin	a w i n		1504		
483	Yawanawa	woman	mujer	awin	awin	a w i n		1504		
484	Nukini	woman	mujer	ainβu	ainβu	a i n β u		1502		
485	Poyanawa	woman	mujer	awĩ	awĩ	a w ĩ		1504		
486	Iskonawa	woman	mujer	awĩ	awĩ	a w ĩ		1504		
487	Chakobo	woman	mujer	yuʂa	yuʂa	j u ʂ a		1506		
488	Pakawara	woman	mujer	yuʂa	yuʂa	j u ʂ a		1506		
489	Kakataibo	woman	mujer	ʂano	ʂano	ʂ a n o		1496		
490	Kaxarari	woman	mujer	ʂãpɨ	ʂãpɨ	ʂ ã p ɨ		1509		
491	Mastanawa	woman	mujer	ajnɸu	ajnɸu	a j n ɸ u		1502		
492	Chaninawa	woman	mujer	aĩɸu	aĩɸu	a ĩ ɸ u		1502		
493	Sharanawa	woman	mujer	ainɸu	ainɸu	a i n ɸ u		1502		
494	Amawaka	woman	mujer	andu	andu	a n d u		1496		
495	Nawa	woman	mujer	ajnɸu	ajnɸu	a j n ɸ u		1502		
496	Marinawa	woman	mujer	ajnɸu	ajnɸu	a j n ɸ u		1502		
497	Yaminawa	woman	mujer	kɨɾu	kɨɾu	k ɨ ɾ u		1510		
498	Kashinawa_P	woman	mujer	ajnβu	ajnβu	a j n β u		1502		
499	Kashinawa_B	woman	mujer	ainβu	ainβu	a i n β u		1502		
500	Araona	woman	mujer	mama	mama	m a m a		1507		
501	Araona	woman	mujer	pona	pona	p o n a		1503		
502	Tacana	woman	mujer	epuna	epuna	e p u n a		1503		
503	Cavinena	woman	mujer	epuna	epuna	e p u n a		1503		
504	Ese_ejja	woman	mujer	epona	epona	e p o n a		1503		
505	Matses	child	niño	βakuɨ	βakuɨ	β a k u ɨ	child	156		
506	Matis	child	niño	βakuɨ	βakuɨ	β a k u ɨ		156		
507	Marubo	child	niño	βakɨ	βakɨ	β a k ɨ		156		
508	Kanamari	child	niño	ãiiβakɨ	ãiiβakɨ	ã iː β a k ɨ		156		
509	Shipibo_Konibo	child	niño	βakɨ	βakɨ	β a k ɨ		156		
510	Kapanawa	child	niño	βakɨ	βakɨ	β a k ɨ		156		
511	Arara	child	niño	βakɨhɨ	βakɨhɨ	β a k ɨ h ɨ		156		
512	Shanenawa	child	niño	ɸakɨ	ɸakɨ	ɸ a k ɨ		156		
513	Yawanawa	child	niño	βakɨ	βakɨ	β a k ɨ		156		
514	Nukini	child	niño	βakɨ	βakɨ	β a k ɨ		156		
515	Poyanawa	child	niño	βakɨ	βakɨ	β a k ɨ		156		
516	Iskonawa	child	niño	βakɨ	βakɨ	β a k ɨ		156		
517	Chakobo	child	niño	ʂuku	ʂuku	ʂ u k u		160		
518	Chakobo	child	niño	βakɨ	βakɨ	β a k ɨ		156		
519	Pakawara	child	niño	wakɨ	wakɨ	w a k ɨ		156		
520	Kakataibo	child	niño	toa	toa	t o a		158		
521	Mastanawa	child	niño	ɸaʔɨʂta	ɸaʔɨʂta	ɸ a ʔ ɨ ʂ t a		156		
522	Chaninawa	child	niño	ɸakɨ	ɸakɨ	ɸ a k ɨ		156		
523	Sharanawa	child	niño	ɸakɨ	ɸakɨ	ɸ a k ɨ		156		
524	Amawaka	child	niño	piʃta	piʃta	p i ʃ t a		120		
525	Nawa	child	niño	ɸakɨ	ɸakɨ	ɸ a k ɨ		156		
526	Marinawa	child	niño	ɸakɨ	ɸakɨ	ɸ a k ɨ		156		
527	Yaminawa	child	niño	waʔɨhu	waʔɨhu	w a ʔ ɨ h u		156		
528	Kashinawa_P	child	niño	βakɨʧta	βakɨʧta	β a k ɨ tʃ t a		156		
529	Araona	child	niño	bakua	bakua	b a k u a		156		
530	Tacana	child	niño	yanana	yanana	j a n a n a		157		
531	Cavinena	child	niño	ebacua	ebacua	e b a c u a		156		
532	Ese_ejja	child	niño	esho'i	esho'i	e ʃ o i		159		
533	Matses	head	cabeza	mapi	mapi	m a p i	head _pi	554		
534	Matis	head	cabeza	maʂo	maʂo	m a + ʂ o	head _so	554		
535	Marubo	head	cabeza	mapu	mapu	m a p u		554		
536	Katukina	head	cabeza	mapu	mapu	m a p u		554		
537	Kanamari	head	cabeza	mapu	mapu	m a p u		554		
538	Shipibo_Konibo	head	cabeza	mapu	mapu	m a p u		554		
539	Kapanawa	head	cabeza	mapu	mapu	m a p u		554		
540	Arara	head	cabeza	βapu	βapu	β a p u		554		
541	Arara	head	cabeza	βuʃka	βuʃka	β u ʃ k a		555		
542	Shanenawa	head	cabeza	mapu	mapu	m a p u		554		
543	Yawanawa	head	cabeza	mapu	mapu	m a p u		554		
544	Nukini	head	cabeza	mapu	mapu	m a p u		554		
545	Poyanawa	head	cabeza	βuhka	βuhka	β u h k a		555		
546	Iskonawa	head	cabeza	βuhka	βuhka	β u h k a		555		
547	Chakobo	head	cabeza	mapu	mapu	m a p u		554		
548	Pakawara	head	cabeza	mapu	mapu	m a p u		554		
549	Kakataibo	head	cabeza	maʂka	maʂka	m a ʂ k a		555		
550	Kaxarari	head	cabeza	wɨʂkata	wɨʂkata	w ɨ ʂ k a t a		555		
551	Mastanawa	head	cabeza	bapu	bapu	b a p u		554		
552	Chaninawa	head	cabeza	βasakati	βasakati	β a s a k a t i		555		
553	Sharanawa	head	cabeza	bapu	bapu	b a p u		554		
554	Amawaka	head	cabeza	mapu	mapu	m a p u		554		
555	Nawa	head	cabeza	ba:pu	ba:pu	b aː p u		554		
556	Marinawa	head	cabeza	bapu	bapu	b a p u		554		
557	Marinawa	head	cabeza	ɸuʂka	ɸuʂka	ɸ u ʂ k a		555		
558	Yaminawa	head	cabeza	bapu	bapu	b a p u		554		
559	Kashinawa_P	head	cabeza	βuʂka	βuʂka	β u ʂ k a		555		
560	Kashinawa_B	head	cabeza	βuʂka	βuʂka	β u ʂ k a		555		
561	Araona	head	cabeza	e-šoa	ešoa	e ʃ o a		556		
562	Tacana	head	cabeza	e-čoa	ečoa	e tʃ o a		556		
563	Cavinena	head	cabeza	i-yo-ka	iyoka	i j o k a		558		
564	Ese_ejja	head	cabeza	e-sapa	esapa	e s a p a		557		
565	Matses	hair	cabello pelo	βu	βu	β u	hair	539		
566	Matis	hair	cabello pelo	ʂakkete	ʂakkete	ʂ a k + ke + t e	? _ke _te	543		
567	Marubo	hair	cabello pelo	βu	βu	β u		539		
568	Katukina	hair	cabello pelo	βuu	βuu	β uː		539		
569	Kanamari	hair	cabello pelo	βuu	βuu	β uː		539		
570	Shipibo_Konibo	hair	cabello pelo	βu	βu	β u		539		
571	Kapanawa	hair	cabello pelo	βu	βu	β u		539		
572	Arara	hair	cabello pelo	hu	hu	h u		539		
573	Shanenawa	hair	cabello pelo	ɸu	ɸu	ɸ u		539		
574	Yawanawa	hair	cabello pelo	βu	βu	β u		539		
575	Nukini	hair	cabello pelo	βu	βu	β u		539		
576	Poyanawa	hair	cabello pelo	βu	βu	β u		539		
577	Iskonawa	hair	cabello pelo	βu	βu	β u		539		
578	Chakobo	hair	cabello pelo	βu	βu	β u		539		
579	Pakawara	hair	cabello pelo	wuu	wuu	w uː		539		
580	Kakataibo	hair	cabello pelo	βu	βu	β u		539		
581	Kaxarari	hair	cabello pelo	wɨʂkatʃani	wɨʂkatʃani	w ɨ ʂ k a tʃ a n i		542		
582	Mastanawa	hair	cabello pelo	fuʔu	fuʔu	f u ʔ u		539		
583	Chaninawa	hair	cabello pelo	ɸu	ɸu	ɸ u		539		
584	Sharanawa	hair	cabello pelo	ɸu	ɸu	ɸ u		539		
585	Amawaka	hair	cabello pelo	βu	βu	β u		539		
586	Nawa	hair	cabello pelo	ɸuʔu	ɸuʔu	ɸ u ʔ u		539		
587	Marinawa	hair	cabello pelo	ɸuʔu	ɸuʔu	ɸ u ʔ u		539		
588	Yaminawa	hair	cabello pelo	hu	hu	h u		539		
589	Kashinawa_P	hair	cabello pelo	βu	βu	β u		539		
590	Kashinawa_B	hair	cabello pelo	βu	βu	β u		539		
591	Araona	hair	cabello pelo	šoa-iɲa	šoaiɲa	ʃ o a i ɲ a		494		
592	Tacana	hair	cabello pelo	e-čoa	ečoa	e tʃ o a		493		
593	Tacana	hair	cabello pelo	e-ina	eina	e i n a		540		
594	Tacana	hair	cabello pelo	ečoaina	ečoaina	e tʃ o a i n a		493		
595	Cavinena	hair	cabello pelo	e-c̷aro	ec̷aro	e tʃ a r o		541		
596	Ese_ejja	hair	cabello pelo	e-woxaɲa	ewoxaɲa	e w o x a ɲ a		494		
597	Matses	ear	oreja	paβiate	paβiate	p a + β i a t e	ear _biate	310		
598	Matis	ear	oreja	paβɨʂan	paβɨʂan	p a + β ɨ ʂ a n	pa _bisan	310		
599	Marubo	ear	oreja	pantʃu	pantʃu	p a n tʃ u		310		
600	Katukina	ear	oreja	pantxu	pantxu	p a n t x u		310		
601	Kanamari	ear	oreja	pãtʃo	pãtʃo	p ã tʃ o		310		
602	Shipibo_Konibo	ear	oreja	paβiki	paβiki	p a β i + k i	ear _ki	310		
603	Kapanawa	ear	oreja	paβinki	paβinki	p a β i n + k i	ear _ki	310		
604	Arara	ear	oreja	patʃi	patʃi	p a tʃ i		310		
605	Shanenawa	ear	oreja	pahinki	pahinki	p a h i n k i		310		
606	Yawanawa	ear	oreja	pahinki	pahinki	p a h i n k i		310		
607	Nukini	ear	oreja	paβiki	paβiki	p a β i k i		310		
608	Poyanawa	ear	oreja	pabĩki	pabĩki	p a b ĩ k i		310		
609	Iskonawa	ear	oreja	paβinki	paβinki	p a β i n k i		310		
610	Chakobo	ear	oreja	pa?uki	paʔuki	p a ʔ u k i		310		
611	Pakawara	ear	oreja	pa?uki	paʔuki	p a ʔ u k i		310		
612	Kakataibo	ear	oreja	paβi	paβi	p a β i		310		
613	Kaxarari	ear	oreja	isãkili	isãkili	i s ã k i l i		267		
614	Mastanawa	ear	oreja	paʧu	paʧu	p a tʃ u		310		
615	Chaninawa	ear	oreja	dikati	dikati	d i k a t i		313		
616	Sharanawa	ear	oreja	pat͡ʃu	pat͡ʃu	p a tʃ u		310		
617	Amawaka	ear	oreja	pawinki	pawinki	p a w i n k i		310		
618	Nawa	ear	oreja	paʧu	paʧu	p a tʃ u		310		
619	Nawa	ear	oreja	dikati	dikati	d i k a t i		313		
620	Marinawa	ear	oreja	paɸiki	paɸiki	p a ɸ i k i		310		
621	Yaminawa	ear	oreja	paʧu	paʧu	p a tʃ u		310		
622	Kashinawa_P	ear	oreja	paβinki	paβinki	p a β i n k i		310		
623	Kashinawa_B	ear	oreja	paβĩki	paβĩki	p a β ĩ k i		310		
624	Araona	ear	oreja	e-iza-ha	eizaha	e i z a h a		267		
625	Tacana	ear	oreja	e-iď̶aha	eiď̶aha	e i dʱ a h a		267		
626	Cavinena	ear	oreja	iha-ka	ihaka	i h a k a		267		
627	Ese_ejja	ear	oreja	e-ša-xa	ešaxa	e ʃ a x a		267		
628	Matses	eye	ojo	ɨʂɨ	ɨʂɨ	ɨ ʂ ɨ	seed	332		
629	Matis	eye	ojo	βɨdu	βɨdu	β ɨ d u		330		
630	Marubo	eye	ojo	βɨru	βɨru	β ɨ r u		330		
631	Katukina	eye	ojo	βiru	βiru	β i r u		330		
632	Kanamari	eye	ojo	mβɨru	mβɨru	m β ɨ r u		330		
633	Shipibo_Konibo	eye	ojo	βɨru	βɨru	β ɨ r u	eye	330		
634	Kapanawa	eye	ojo	βɨru	βɨru	β ɨ r u	eye	330		
635	Arara	eye	ojo	βɨrɨ	βɨrɨ	β ɨ r ɨ		330		
636	Shanenawa	eye	ojo	ɸɨru	ɸɨru	ɸ ɨ r u		330		
637	Yawanawa	eye	ojo	βɨru	βɨru	β ɨ r u		330		
638	Nukini	eye	ojo	βɨrɨ	βɨrɨ	β ɨ r ɨ		330		
639	Poyanawa	eye	ojo	βɨru	βɨru	β ɨ r u		330		
640	Iskonawa	eye	ojo	βɨɾu	βɨɾu	β ɨ ɾ u		330		
641	Chakobo	eye	ojo	βɨru	βɨru	β ɨ r u		330		
642	Pakawara	eye	ojo	wɨru	wɨru	w ɨ r u		330		
643	Kakataibo	eye	ojo	βɨro	βɨro	β ɨ r o		330		
644	Kaxarari	eye	ojo	wɨtʃɨwɨ	wɨtʃɨwɨ	w ɨ tʃ ɨ w ɨ		330		
645	Kaxarari	eye	ojo	βutʃu	βutʃu	β u tʃ u		241		
646	Mastanawa	eye	ojo	ɸɨɾu	ɸɨɾu	ɸ ɨ ɾ u		330		
647	Chaninawa	eye	ojo	ɸɨɾu	ɸɨɾu	ɸ ɨ ɾ u		330		
648	Sharanawa	eye	ojo	ɸɨɾu	ɸɨɾu	ɸ ɨ ɾ u		330		
649	Amawaka	eye	ojo	βɨɾu	βɨɾu	β ɨ ɾ u		330		
650	Nawa	eye	ojo	ɸɨɾu	ɸɨɾu	ɸ ɨ ɾ u		330		
651	Marinawa	eye	ojo	ɸwɨɾu	ɸwɨɾu	ɸʷ ɨ ɾ u		330		
652	Yaminawa	eye	ojo	ɸɨɾu	ɸɨɾu	ɸ ɨ ɾ u		330		
653	Kashinawa_P	eye	ojo	βɨɾu	βɨɾu	β ɨ ɾ u		330		
654	Kashinawa_B	eye	ojo	βɨdu	βɨdu	β ɨ d u		330		
655	Araona	eye	ojo	e-toa	etoa	e t o a		331		
656	Tacana	eye	ojo	e-toa	etoa	e t o a		331		
657	Cavinena	eye	ojo	ya-to-ka	yatoka	j a t o k a		333		
658	Ese_ejja	eye	ojo	e-ko-xa	ekoxa	e k o x a		331		
659	Matses	nose	nariz	dɨβiate	dɨβiate	d ɨ + β i a t e	nose _biate	830		
660	Matis	nose	nariz	dɨʂan	dɨʂan	d ɨ + ʂ a n	nose _san	830		
661	Marubo	nose	nariz	rɨkin	rɨkin	r ɨ k i n		830		
662	Katukina	nose	nariz	renkin	renkin	r e n k i n		830		
663	Kanamari	nose	nariz	rɨkĩ	rɨkĩ	r ɨ k ĩ		830		
664	Shipibo_Konibo	nose	nariz	rɨkin	rɨkin	r ɨ k i n		830		
665	Kapanawa	nose	nariz	rɨkin	rɨkin	r ɨ k i n		830		
666	Arara	nose	nariz	rĩkĩ	rĩkĩ	r ĩ k ĩ		830		
667	Shanenawa	nose	nariz	rɨkin	rɨkin	r ɨ k i n		830		
668	Yawanawa	nose	nariz	rɨkin	rɨkin	r ɨ k i n		830		
669	Nukini	nose	nariz	rɨ̃kɨ̃	rɨ̃kɨ̃	r ɨ̃ k ɨ̃		830		
670	Poyanawa	nose	nariz	rɨnkĩ	rɨnkĩ	r ɨ n k ĩ		830		
671	Iskonawa	nose	nariz	ɾɨnkĩ	ɾɨnkĩ	ɾ ɨ n k ĩ		830		
672	Chakobo	nose	nariz	rɨʂaki	rɨʂaki	r ɨ ʂ a k i		830		
673	Pakawara	nose	nariz	rɨkina	rɨkina	r ɨ k i n a		830		
674	Kakataibo	nose	nariz	rɨkin	rɨkin	r ɨ k i n		830		
675	Kaxarari	nose	nariz	tʃɨkani	tʃɨkani	tʃ ɨ k a n i		830		
676	Mastanawa	nose	nariz	ɾɨʧuʔu	ɾɨʧuʔu	ɾ ɨ tʃ u ʔ u		830		
677	Chaninawa	nose	nariz	ɾɨki	ɾɨki	ɾ ɨ k i		830		
678	Sharanawa	nose	nariz	ɾɨt͡ʃuku	ɾɨt͡ʃuku	ɾ ɨ tʃ u k u		830		
679	Amawaka	nose	nariz	ɾɨ(n)kin	ɾɨkin	ɾ ɨ k i n		830		
680	Nawa	nose	nariz	ɾɨʧa	ɾɨʧa	ɾ ɨ tʃ a		830		
681	Marinawa	nose	nariz	ɾɨʧuku	ɾɨʧuku	ɾ ɨ tʃ u k u		830		
682	Yaminawa	nose	nariz	ɾɨʧuʔu	ɾɨʧuʔu	ɾ ɨ tʃ u ʔ u		830		
683	Kashinawa_P	nose	nariz	dɨki	dɨki	d ɨ k i		830		
684	Kashinawa_P	nose	nariz	ɾɨki	ɾɨki	ɾ ɨ k i		830		
685	Kashinawa_B	nose	nariz	dɨkĩ	dɨkĩ	d ɨ k ĩ		830		
686	Araona	nose	nariz	ewi	ewi	e w i		831		
687	Tacana	nose	nariz	ewi	ewi	e w i		831		
688	Cavinena	nose	nariz	e-wi	ewi	e w i		831		
689	Ese_ejja	nose	nariz	e'wiʔ	e'wiʔ	e w i ʔ		831		
690	Matses	mouth	boca	ana	ana	a n a	mouth	767		
691	Matis	mouth	boca	ana	ana	a n a	mouth	767		
692	Marubo	mouth	boca	ana	ana	a n a	mouth	767		
693	Katukina	mouth	boca	ana	ana	a n a		767		
694	Kanamari	mouth	boca	kɨʃa	kɨʃa	k ɨ ʃ a		766		
695	Shipibo_Konibo	mouth	boca	kɨʂa	kɨʂa	k ɨ ʂ a		766		
696	Kapanawa	mouth	boca	kɨʂa	kɨʂa	k ɨ ʂ a		766		
697	Arara	mouth	boca	aʃɨa	aʃɨa	a ʃ ɨ a		1569		
698	Shanenawa	mouth	boca	aʂɸa	aʂɸa	a ʂ ɸ a		1569		
699	Yawanawa	mouth	boca	aʂβa	aʂβa	a ʂ β a		1569		
700	Nukini	mouth	boca	kɨha	kɨha	k ɨ h a		766		
701	Poyanawa	mouth	boca	kɨha	kɨha	k ɨ h a		766		
702	Iskonawa	mouth	boca	kɨha	kɨha	k ɨ h a		766		
703	Chakobo	mouth	boca	hana	hana	h a n a		767		
704	Pakawara	mouth	boca	kɨwɨtʃi	kɨwɨtʃi	k ɨ w ɨ tʃ i		768		
705	Kakataibo	mouth	boca	kwɨβi	kwɨβi	kʷ ɨ β i		768		
706	Kaxarari	mouth	boca	kɨʂaka	kɨʂaka	k ɨ ʂ a k a		766		
707	Mastanawa	mouth	boca	aʂwa	aʂwa	a ʂʷ a		1569		
708	Chaninawa	mouth	boca	aʂwa	aʂwa	a ʂʷ a		1569		
709	Sharanawa	mouth	boca	aʂɸa	aʂɸa	a ʂ ɸ a		1569		
710	Amawaka	mouth	boca	kɨça	kɨça	k ɨ ç a		766		
711	Nawa	mouth	boca	aʂwa	aʂwa	a ʂʷ a		1569		
712	Marinawa	mouth	boca	aʂɸa	aʂɸa	a ʂ ɸ a		1569		
713	Yaminawa	mouth	boca	aʂwã	aʂwã	a ʂʷ ã		1569		
714	Kashinawa_P	mouth	boca	haʂpa	haʂpa	h a ʂ p a		1569		
715	Kashinawa_B	mouth	boca	kɨʂa	kɨʂa	k ɨ ʂ a		766		
716	Araona	mouth	boca	kʷac̷a	kʷac̷a	kʷ a tʃ a		1568		
717	Tacana	mouth	boca	e-kʷac̷a	ekʷac̷a	e kʷ a tʃ a		1568		
718	Cavinena	mouth	boca	e-kʷac̷a	ekʷac̷a	e kʷ a tʃ a		1568		
719	Ese_ejja	mouth	boca	e-naɓa	enaɓa	e n a b a		770		
